8000:
fs:12000, bits:16, err:0.000000, div:50, fdl:40, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:8, fdl:250, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:10, fdl:200, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:20, fdl:100, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:25, fdl:80, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:40, fdl:50, clk:24000000, real_fs:12000.000000
fs:12000, bits:20, err:0.000000, div:50, fdl:40, clk:24000000, real_fs:12000.000000
fs:12000, bits:24, err:0.000000, div:8, fdl:250, clk:24000000, real_fs:12000.000000
fs:12000, bits:24, err:0.000000, div:10, fdl:200, clk:24000000, real_fs:12000.000000
fs:12000, bits:24, err:0.000000, div:20, fdl:100, clk:24000000, real_fs:12000.000000
fs:12000, bits:24, err:0.000000, div:25, fdl:80, clk:24000000, real_fs:12000.000000
fs:12000, bits:24, err:0.000000, div:40, fdl:50, clk:24000000, real_fs:12000.000000
fs:12000, bits:32, err:0.000000, div:8, fdl:250, clk:24000000, real_fs:12000.000000
fs:12000, bits:32, err:0.000000, div:10, fdl:200, clk:24000000, real_fs:12000.000000
fs:12000, bits:32, err:0.000000, div:20, fdl:100, clk:24000000, real_fs:12000.000000
fs:12000, bits:32, err:0.000000, div:25, fdl:80, clk:24000000, real_fs:12000.000000
16000:
fs:16000, bits:8, err:0.000000, div:6, fdl:250, clk:24000000, real_fs:16000.000000
fs:16000, bits:8, err:0.000000, div:10, fdl:150, clk:24000000, real_fs:16000.000000
fs:16000, bits:8, err:0.000000, div:15, fdl:100, clk:24000000, real_fs:16000.000000
fs:16000, bits:8, err:0.000000, div:25, fdl:60, clk:24000000, real_fs:16000.000000
fs:16000, bits:8, err:0.000000, div:30, fdl:50, clk:24000000, real_fs:16000.000000
fs:16000, bits:8, err:0.000000, div:50, fdl:30, clk:24000000, real_fs:16000.000000
fs:16000, bits:16, err:0.000000, div:6, fdl:250, clk:24000000, real_fs:16000.000000
fs:16000, bits:16, err:0.000000, div:10, fdl:150, clk:24000000, real_fs:16000.000000
fs:16000, bits:16, err:0.000000, div:15, fdl:100, clk:24000000, real_fs:16000.000000
fs:16000, bits:16, err:0.000000, div:25, fdl:60, clk:24000000, real_fs:16000.000000
fs:16000, bits:16, err:0.000000, div:30, fdl:50, clk:24000000, real_fs:16000.000000
fs:16000, bits:20, err:0.000000, div:6, fdl:250, clk:24000000, real_fs:16000.000000
fs:16000, bits:20, err:0.000000, div:10, fdl:150, clk:24000000, real_fs:16000.000000
fs:16000, bits:20, err:0.000000, div:15, fdl:100, clk:24000000, real_fs:16000.000000
fs:16000, bits:20, err:0.000000, div:25, fdl:60, clk:24000000, real_fs:16000.000000
fs:16000, bits:20, err:0.000000, div:30, fdl:50, clk:24000000, real_fs:16000.000000
fs:16000, bits:24, err:0.000000, div:6, fdl:250, clk:24000000, real_fs:16000.000000
fs:16000, bits:24, err:0.000000, div:10, fdl:150, clk:24000000, real_fs:16000.000000
fs:16000, bits:24, err:0.000000, div:15, fdl:100, clk:24000000, real_fs:16000.000000
fs:16000, bits:24, err:0.000000, div:25, fdl:60, clk:24000000, real_fs:16000.000000
fs:16000, bits:24, err:0.000000, div:30, fdl:50, clk:24000000, real_fs:16000.000000
fs:16000, bits:32, err:0.000000, div:6, fdl:250, clk:24000000, real_fs:16000.000000
fs:16000, bits:32, err:0.000000, div:10, fdl:150, clk:24000000, real_fs:16000.000000
fs:16000, bits:32, err:0.000000, div:15, fdl:100, clk:24000000, real_fs:16000.000000
22050:
fs:22050, bits:8, err:9600.000000, div:8, fdl:136, clk:23990400, real_fs:22058.000000
fs:22050, bits:8, err:9600.000000, div:16, fdl:68, clk:23990400, real_fs:22058.000000
fs:22050, bits:8, err:9600.000000, div:17, fdl:64, clk:23990400, real_fs:22058.000000
fs:22050, bits:8, err:9600.000000, div:32, fdl:34, clk:23990400, real_fs:22058.000000
fs:22050, bits:8, err:9600.000000, div:34, fdl:32, clk:23990400, real_fs:22058.000000
fs:22050, bits:16, err:9600.000000, div:8, fdl:136, clk:23990400, real_fs:22058.000000
fs:22050, bits:16, err:9600.000000, div:16, fdl:68, clk:23990400, real_fs:22058.000000
fs:22050, bits:16, err:9600.000000, div:17, fdl:64, clk:23990400, real_fs:22058.000000
fs:22050, bits:16, err:9600.000000, div:32, fdl:34, clk:23990400, real_fs:22058.000000
fs:22050, bits:16, err:9600.000000, div:34, fdl:32, clk:23990400, real_fs:22058.000000
fs:22050, bits:20, err:9600.000000, div:8, fdl:136, clk:23990400, real_fs:22058.000000
fs:22050, bits:20, err:9600.000000, div:16, fdl:68, clk:23990400, real_fs:22058.000000
fs:22050, bits:20, err:9600.000000, div:17, fdl:64, clk:23990400, real_fs:22058.000000
fs:22050, bits:24, err:9600.000000, div:8, fdl:136, clk:23990400, real_fs:22058.000000
fs:22050, bits:24, err:9600.000000, div:16, fdl:68, clk:23990400, real_fs:22058.000000
fs:22050, bits:24, err:9600.000000, div:17, fdl:64, clk:23990400, real_fs:22058.000000
fs:22050, bits:32, err:9600.000000, div:8, fdl:136, clk:23990400, real_fs:22058.000000
fs:22050, bits:32, err:9600.000000, div:16, fdl:68, clk:23990400, real_fs:22058.000000
fs:22050, bits:32, err:9600.000000, div:17, fdl:64, clk:23990400, real_fs:22058.000000
24000:
fs:24000, bits:8, err:0.000000, div:4, fdl:250, clk:24000000, real_fs:24000.000000
fs:24000, bits:8, err:0.000000, div:5, fdl:200, clk:24000000, real_fs:24000.000000
fs:24000, bits:8, err:0.000000, div:10, fdl:100, clk:24000000, real_fs:24000.000000
fs:24000, bits:8, err:0.000000, div:20, fdl:50, clk:24000000, real_fs:24000.000000
fs:24000, bits:8, err:0.000000, div:25, fdl:40, clk:24000000, real_fs:24000.000000
fs:24000, bits:8, err:0.000000, div:50, fdl:20, clk:24000000, real_fs:24000.000000
fs:24000, bits:16, err:0.000000, div:4, fdl:250, clk:24000000, real_fs:24000.000000
fs:24000, bits:16, err:0.000000, div:5, fdl:200, clk:24000000, real_fs:24000.000000
fs:24000, bits:16, err:0.000000, div:10, fdl:100, clk:24000000, real_fs:24000.000000
fs:24000, bits:16, err:0.000000, div:20, fdl:50, clk:24000000, real_fs:24000.000000
fs:24000, bits:16, err:0.000000, div:25, fdl:40, clk:24000000, real_fs:24000.000000
fs:24000, bits:20, err:0.000000, div:4, fdl:250, clk:24000000, real_fs:24000.000000
fs:24000, bits:20, err:0.000000, div:5, fdl:200, clk:24000000, real_fs:24000.000000
fs:24000, bits:20, err:0.000000, div:10, fdl:100, clk:24000000, real_fs:24000.000000
fs:24000, bits:20, err:0.000000, div:20, fdl:50, clk:24000000, real_fs:24000.000000
fs:24000, bits:20, err:0.000000, div:25, fdl:40, clk:24000000, real_fs:24000.000000
fs:24000, bits:24, err:0.000000, div:4, fdl:250, clk:24000000, real_fs:24000.000000
fs:24000, bits:24, err:0.000000, div:5, fdl:200, clk:24000000, real_fs:24000.000000
fs:24000, bits:24, err:0.000000, div:10, fdl:100, clk:24000000, real_fs:24000.000000
fs:24000, bits:24, err:0.000000, div:20, fdl:50, clk:24000000, real_fs:24000.000000
fs:24000, bits:32, err:0.000000, div:4, fdl:250, clk:24000000, real_fs:24000.000000
fs:24000, bits:32, err:0.000000, div:5, fdl:200, clk:24000000, real_fs:24000.000000
fs:24000, bits:32, err:0.000000, div:10, fdl:100, clk:24000000, real_fs:24000.000000
32000:
fs:32000, bits:8, err:0.000000, div:3, fdl:250, clk:24000000, real_fs:32000.000000
fs:32000, bits:8, err:0.000000, div:5, fdl:150, clk:24000000, real_fs:32000.000000
fs:32000, bits:8, err:0.000000, div:15, fdl:50, clk:24000000, real_fs:32000.000000
fs:32000, bits:8, err:0.000000, div:25, fdl:30, clk:24000000, real_fs:32000.000000
fs:32000, bits:16, err:0.000000, div:3, fdl:250, clk:24000000, real_fs:32000.000000
fs:32000, bits:16, err:0.000000, div:5, fdl:150, clk:24000000, real_fs:32000.000000
fs:32000, bits:16, err:0.000000, div:15, fdl:50, clk:24000000, real_fs:32000.000000
fs:32000, bits:20, err:0.000000, div:3, fdl:250, clk:24000000, real_fs:32000.000000
fs:32000, bits:20, err:0.000000, div:5, fdl:150, clk:24000000, real_fs:32000.000000
fs:32000, bits:20, err:0.000000, div:15, fdl:50, clk:24000000, real_fs:32000.000000
fs:32000, bits:24, err:0.000000, div:3, fdl:250, clk:24000000, real_fs:32000.000000
fs:32000, bits:24, err:0.000000, div:5, fdl:150, clk:24000000, real_fs:32000.000000
fs:32000, bits:24, err:0.000000, div:15, fdl:50, clk:24000000, real_fs:32000.000000
fs:32000, bits:32, err:0.000000, div:3, fdl:250, clk:24000000, real_fs:32000.000000
fs:32000, bits:32, err:0.000000, div:5, fdl:150, clk:24000000, real_fs:32000.000000
44100:
fs:44100, bits:8, err:9600.000000, div:4, fdl:136, clk:23990400, real_fs:44117.000000
fs:44100, bits:8, err:9600.000000, div:8, fdl:68, clk:23990400, real_fs:44117.000000
fs:44100, bits:8, err:9600.000000, div:16, fdl:34, clk:23990400, real_fs:44117.000000
fs:44100, bits:8, err:9600.000000, div:17, fdl:32, clk:23990400, real_fs:44117.000000
fs:44100, bits:8, err:9600.000000, div:34, fdl:16, clk:23990400, real_fs:44117.000000
fs:44100, bits:16, err:9600.000000, div:4, fdl:136, clk:23990400, real_fs:44117.000000
fs:44100, bits:16, err:9600.000000, div:8, fdl:68, clk:23990400, real_fs:44117.000000
fs:44100, bits:16, err:9600.000000, div:16, fdl:34, clk:23990400, real_fs:44117.000000
fs:44100, bits:16, err:9600.000000, div:17, fdl:32, clk:23990400, real_fs:44117.000000
fs:44100, bits:20, err:9600.000000, div:4, fdl:136, clk:23990400, real_fs:44117.000000
fs:44100, bits:20, err:9600.000000, div:8, fdl:68, clk:23990400, real_fs:44117.000000
fs:44100, bits:24, err:9600.000000, div:4, fdl:136, clk:23990400, real_fs:44117.000000
fs:44100, bits:24, err:9600.000000, div:8, fdl:68, clk:23990400, real_fs:44117.000000
fs:44100, bits:32, err:9600.000000, div:4, fdl:136, clk:23990400, real_fs:44117.000000
fs:44100, bits:32, err:9600.000000, div:8, fdl:68, clk:23990400, real_fs:44117.000000
48000:
fs:48000, bits:8, err:0.000000, div:2, fdl:250, clk:24000000, real_fs:48000.000000
fs:48000, bits:8, err:0.000000, div:5, fdl:100, clk:24000000, real_fs:48000.000000
fs:48000, bits:8, err:0.000000, div:10, fdl:50, clk:24000000, real_fs:48000.000000
fs:48000, bits:8, err:0.000000, div:25, fdl:20, clk:24000000, real_fs:48000.000000
fs:48000, bits:16, err:0.000000, div:2, fdl:250, clk:24000000, real_fs:48000.000000
fs:48000, bits:16, err:0.000000, div:5, fdl:100, clk:24000000, real_fs:48000.000000
fs:48000, bits:16, err:0.000000, div:10, fdl:50, clk:24000000, real_fs:48000.000000
fs:48000, bits:20, err:0.000000, div:2, fdl:250, clk:24000000, real_fs:48000.000000
fs:48000, bits:20, err:0.000000, div:5, fdl:100, clk:24000000, real_fs:48000.000000
fs:48000, bits:20, err:0.000000, div:10, fdl:50, clk:24000000, real_fs:48000.000000
fs:48000, bits:24, err:0.000000, div:2, fdl:250, clk:24000000, real_fs:48000.000000
fs:48000, bits:24, err:0.000000, div:5, fdl:100, clk:24000000, real_fs:48000.000000
fs:48000, bits:24, err:0.000000, div:10, fdl:50, clk:24000000, real_fs:48000.000000
fs:48000, bits:32, err:0.000000, div:2, fdl:250, clk:24000000, real_fs:48000.000000
fs:48000, bits:32, err:0.000000, div:5, fdl:100, clk:24000000, real_fs:48000.000000
96000:
fs:96000, bits:8, err:0.000000, div:1, fdl:250, clk:24000000, real_fs:96000.000000
fs:96000, bits:8, err:0.000000, div:5, fdl:50, clk:24000000, real_fs:96000.000000
fs:96000, bits:16, err:0.000000, div:1, fdl:250, clk:24000000, real_fs:96000.000000
fs:96000, bits:16, err:0.000000, div:5, fdl:50, clk:24000000, real_fs:96000.000000
fs:96000, bits:20, err:0.000000, div:1, fdl:250, clk:24000000, real_fs:96000.000000
fs:96000, bits:20, err:0.000000, div:5, fdl:50, clk:24000000, real_fs:96000.000000
fs:96000, bits:24, err:0.000000, div:1, fdl:250, clk:24000000, real_fs:96000.000000
fs:96000, bits:24, err:0.000000, div:5, fdl:50, clk:24000000, real_fs:96000.000000
fs:96000, bits:32, err:0.000000, div:1, fdl:250, clk:24000000, real_fs:96000.000000


